2023-05-14 00:05:47,713 [INFO] label-studio init captcha-recognition -b --internal-host localhost -l config/label-config.xml
2023-05-14 00:06:06,546 [INFO] Exceuted `python setup.py run-studio` again to start Label-Studio
2023-05-14 00:06:17,183 [INFO] label-studio start captcha-recognition -b --internal-host localhost
2023-05-14 00:25:47,841 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/tasks
2023-05-14 00:25:47,842 [INFO] File Filter Regex: .*json
2023-05-14 00:38:31,709 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/CAPTCHA_images/images
2023-05-14 00:38:31,709 [INFO] File Filter Regex: .*json
2023-05-14 00:43:57,629 [INFO] Dataset Abolute path: /home/rony/captcha-model-train/CAPTCHA_images/images
2023-05-14 00:43:57,629 [INFO] File Filter Regex: .*json
2023-05-14 09:31:05,476 [INFO] Dataset Abolute path: /home/rony/Projects/captcha-model-train/data/
2023-05-14 09:31:05,476 [INFO] File Filter Regex: .*json
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 180, image => data/cfhou.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 181, image => data/cfviw.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 182, image => data/chatj.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 183, image => data/chvid.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 184, image => data/cjaan.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 185, image => data/cjjmb.png
2023-05-15 03:43:32,729 [ERROR] KeyError: id => 186, image => data/cjjml.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 187, image => data/cjnoi.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 188, image => data/cjsmc.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 189, image => data/cjyar.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 190, image => data/cmixt.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 191, image => data/cmvqo.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 192, image => data/coqdp.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 193, image => data/cpaar.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 194, image => data/cqjuv.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 195, image => data/cqxbm.png
2023-05-15 03:43:32,730 [ERROR] KeyError: id => 196, image => data/crfdu.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 197, image => data/crqxj.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 198, image => data/cssmk.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 199, image => data/ctina.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 200, image => data/ctppx.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 201, image => data/ctwah.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 202, image => data/ctxlk.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 203, image => data/ctywn.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 204, image => data/cupfi.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 205, image => data/cwbnw.png
2023-05-15 03:43:32,731 [ERROR] KeyError: id => 206, image => data/cwsyx.png
2023-05-15 03:43:32,732 [ERROR] KeyError: id => 207, image => data/cxtah.png
2023-05-15 03:43:32,732 [ERROR] KeyError: id => 208, image => data/cyjsn.png
2023-05-15 03:43:32,732 [ERROR] KeyError: id => 209, image => data/cysxu.png
2023-05-15 03:43:32,732 [ERROR] KeyError: id => 210, image => data/dabcc.png
2023-05-15 03:43:32,732 [ERROR] KeyError: id => 211, image => data/dajiu.png
2023-05-15 03:43:32,732 [ERROR] KeyError: id => 212, image => data/danfr.png
2023-05-15 03:43:32,732 [ERROR] KeyError: id => 213, image => data/dattf.png
2023-05-15 03:43:32,732 [ERROR] KeyError: id => 214, image => data/dauwt.png
2023-05-15 03:43:32,733 [ERROR] KeyError: id => 215, image => data/daywq.png
2023-05-15 03:43:32,733 [ERROR] KeyError: id => 216, image => data/dbbix.png
2023-05-15 03:43:32,733 [ERROR] KeyError: id => 217, image => data/dbxxm.png
2023-05-15 03:43:32,733 [ERROR] KeyError: id => 218, image => data/dcaaf.png
2023-05-15 03:43:32,733 [ERROR] KeyError: id => 219, image => data/dcoja.png
2023-05-15 03:43:32,733 [ERROR] KeyError: id => 220, image => data/dfupt.png
2023-05-15 03:43:32,733 [ERROR] KeyError: id => 221, image => data/dfwtf.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 222, image => data/dhamc.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 223, image => data/dhaxa.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 224, image => data/dikat.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 225, image => data/diymh.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 226, image => data/djimy.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 227, image => data/djscd.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 228, image => data/djuyp.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 229, image => data/djwjb.png
2023-05-15 03:43:32,734 [ERROR] KeyError: id => 230, image => data/dkido.png
2023-05-15 03:43:32,735 [ERROR] KeyError: id => 231, image => data/dlqyk.png
2023-05-15 03:43:32,735 [ERROR] KeyError: id => 232, image => data/dlusl.png
2023-05-15 03:43:32,735 [ERROR] KeyError: id => 233, image => data/dmkaf.png
2023-05-15 03:43:32,735 [ERROR] KeyError: id => 234, image => data/dmlap.png
2023-05-15 03:43:32,735 [ERROR] KeyError: id => 235, image => data/dnshr.png
2023-05-15 03:43:32,735 [ERROR] KeyError: id => 236, image => data/dnxsa.png
2023-05-15 03:43:32,735 [ERROR] KeyError: id => 237, image => data/docbb.png
2023-05-15 03:43:32,735 [ERROR] KeyError: id => 238, image => data/dollm.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 239, image => data/dpfnf.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 240, image => data/dpkkv.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 241, image => data/dqnpb.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 242, image => data/dqprn.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 243, image => data/drabj.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 244, image => data/dsaul.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 245, image => data/dslos.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 246, image => data/dssok.png
2023-05-15 03:43:32,736 [ERROR] KeyError: id => 247, image => data/dufwa.png
2023-05-15 03:43:32,737 [ERROR] KeyError: id => 248, image => data/dulru.png
2023-05-15 03:43:32,737 [ERROR] KeyError: id => 249, image => data/dussk.png
2023-05-15 03:43:32,737 [ERROR] KeyError: id => 250, image => data/dvqsf.png
2023-05-15 03:43:32,738 [ERROR] KeyError: id => 251, image => data/dwshr.png
2023-05-15 03:43:32,738 [ERROR] KeyError: id => 252, image => data/dxqku.png
2023-05-15 03:43:32,738 [ERROR] KeyError: id => 253, image => data/dydhq.png
2023-05-15 03:43:32,738 [ERROR] KeyError: id => 254, image => data/dywpq.png
2023-05-15 03:43:32,739 [ERROR] KeyError: id => 255, image => data/fabqn.png
2023-05-15 03:43:32,739 [ERROR] KeyError: id => 256, image => data/faufv.png
